SA2_CODE21,LST_slope,LST_p,LST_trend,NDVI_slope,NDVI_p,NDVI_trend,NDBI_slope,NDBI_p,NDBI_trend
207011520,0.03690687609279841,0.41368622699316804,no trend,0.0033261941752900925,0.0005016191668583136,increasing,-0.0011002661988683388,0.023486186933639575,decreasing
207011521,0.03261907665470772,0.6572273920607943,no trend,0.002544222653525504,0.0035073847992901364,increasing,-0.0007198606681504676,0.06503135683341554,no trend
207011522,0.02972005901881231,0.6238124360692694,no trend,0.0038344536783545945,0.0022170615811702987,increasing,-0.002433768250128546,0.010906151033361455,decreasing
207021156,0.014303150418665094,0.7972523796379414,no trend,0.00220908615035547,0.010906151033361455,increasing,-0.0019745100661421374,0.029854753709825932,decreasing
207021157,0.04243860799759158,0.6572273920607943,no trend,0.0011316419150050555,0.2524605042504313,no trend,-0.00043323831960334494,0.5911541483740381,no trend
207021159,-0.009951268539485929,0.944141999801307,no trend,0.0038938101277521623,0.012455077396482883,increasing,-0.002894392719314684,0.03765485026971738,decreasing
207021160,0.02118189593821209,0.7260951618325295,no trend,0.0023283932989480085,0.029854753709825932,increasing,-0.00127057925514889,0.1411929728237964,no trend
207021424,0.03407439268976391,0.69134204811853,no trend,0.0028571405869186476,0.016147623299816338,increasing,-0.0014864217920373894,0.07983871964585254,no trend
207021425,0.04646573695020367,0.3623776993195864,no trend,0.0011267439464020476,0.2157852878709825,no trend,0.00016325626913182677,0.8335157043083457,no trend
207031161,0.04238248848498447,0.4690632682744802,no trend,0.0018060970901442666,0.042165578463101205,increasing,-0.0007021881987308715,0.4690632682744802,no trend
207031162,-0.0142665391928093,0.7260951618325295,no trend,0.002228628917949665,0.014195743882660095,increasing,-0.001247979706950951,0.047125304183912364,decreasing
207031163,0.011848916251564034,0.8335157043083457,no trend,0.0021766939986956296,0.005448604576648863,increasing,-0.0015406189433317583,0.010906151033361455,decreasing
207031164,0.05057144657141155,0.387514377839314,no trend,0.002057336222975876,0.029854753709825932,increasing,-0.0014203141309532203,0.07983871964585254,no trend
207031165,-0.022785896160856405,0.69134204811853,no trend,0.0021608463566014065,0.012455077396482883,increasing,-0.0012788502165092118,0.052566837375503495,no trend
207031166,-0.023585127643062184,0.44087649866088374,no trend,0.0021833159060530576,0.009530847381806318,increasing,-0.0013819140088880354,0.026505643985675675,decreasing
207031167,0.024368548033362695,0.4690632682744802,no trend,0.0015555621915699677,0.03356141170311466,increasing,-0.0004403388698043864,0.3382878549727657,no trend
208011168,0.03107843980431379,0.3152515554041373,no trend,0.0016599069731905607,0.03356141170311466,increasing,-0.0013527358557425338,0.1289960116674873,no trend
208011169,-0.013676613137712285,0.6572273920607943,no trend,0.0027580974180425556,0.0008385067770961818,increasing,-0.0010106380589589587,0.052566837375503495,no trend
208011170,0.0020492342099143685,0.9813671252686653,no trend,0.00193770034954617,0.047125304183912364,increasing,-0.0012625914251897898,0.09727654970369648,no trend
208011171,0.029624287863662602,0.3152515554041373,no trend,0.0013212385650971732,0.11763382782129739,no trend,-0.0006182807624697366,0.387514377839314,no trend
208011172,0.02196180425725988,0.69134204811853,no trend,0.00223107612955961,0.008312365597504368,increasing,-0.0006399777640244844,0.3152515554041373,no trend
208011173,0.019609458621281876,0.7260951618325295,no trend,0.0017797882899421454,0.03356141170311466,increasing,-0.0013988329923281737,0.047125304183912364,decreasing
208021174,0.031160133499789033,0.5911541483740381,no trend,0.0018948289073489235,0.042165578463101205,increasing,-0.000817639035241765,0.16822084690819583,no trend
208021176,-0.01589156124993961,0.69134204811853,no trend,0.0013606651390206917,0.01833157496099891,increasing,-0.0003517977037456568,0.387514377839314,no trend
208021177,-0.018949793300982166,0.69134204811853,no trend,0.0016146917937772992,0.03765485026971738,increasing,-0.001068121493320185,0.026505643985675675,decreasing
208021178,-0.018715089082140132,0.7260951618325295,no trend,0.002023518371046176,0.014195743882660095,increasing,-0.0009813340964692414,0.03765485026971738,decreasing
