SA2_CODE21,pop,elderly,median_hhd_income,median_age,IRSD_score,IRSAD_score,area_km2,pop_density,elderly_pct
207021425,15454,3082,1656,40,1030.0,1050.0,4.7684,3240.919385957554,19.943056813769896
207031161,22106,3878,2050,40,1069.0,1087.0,8.6076,2568.195548120266,17.542748575047497
207031162,10939,2312,1861,42,1054.0,1071.0,3.5966,3041.4836234221207,21.13538714690557
207031163,22841,3357,1441,34,991.0,1041.0,7.0123,3257.276499864524,14.697254936298762
207031164,18126,2971,1920,39,1041.0,1075.0,6.2087,2919.451737078615,16.39081981683769
207031165,12336,2023,1564,33,1010.0,1049.0,5.0392,2448.0076202571836,16.399156939040207
207031166,10675,2383,1610,41,1031.0,1047.0,4.2629,2504.1638321330547,22.3231850117096
207031167,10166,1993,2388,42,1096.0,1130.0,3.3279,3054.779290243096,19.604564233720247
208011168,14021,3147,2622,48,1108.0,1134.0,5.9678,2349.4420054291363,22.444904072462734
208011169,22758,5689,2718,48,1101.0,1146.0,8.2004,2775.230476562119,24.997802970384043
208011170,16540,3370,2720,44,1090.0,1133.0,5.6083,2949.200292423729,20.37484885126965
208011171,12439,1859,2291,40,1071.0,1098.0,5.3198,2338.2457987142375,14.944931264571107
208011172,18200,3216,2415,43,1074.0,1115.0,5.6847,3201.576160571358,17.67032967032967
208011173,17358,4154,2356,48,1094.0,1125.0,6.4301,2699.4914542542106,23.931328494066136
208021174,24896,3949,2240,40,1069.0,1102.0,6.2242,3999.8714694257897,15.86198586118252
208021176,18534,2818,1873,36,1062.0,1087.0,3.8045,4871.599421737416,15.204489047156578
208021177,22362,3959,2184,35,1085.0,1122.0,6.4189,3483.7744784931997,17.704140953403094
208021178,18075,3806,2289,41,1086.0,1120.0,4.7426,3811.200607261839,21.0567081604426
208021179,11904,1921,2171,38,1085.0,1118.0,2.8616,4159.910539558289,16.137432795698924
208021180,7563,1117,2057,38,1051.0,1073.0,2.0095,3763.6227917392384,14.769271453127066
208021181,9369,1350,2089,38,1077.0,1099.0,2.5148,3725.5447749324,14.409221902017292
208021182,13128,1721,1978,36,1066.0,1090.0,2.9371,4469.715025024684,13.10938452163315
208021426,16583,2311,2250,39,1067.0,1091.0,4.5989,3605.8622714127287,13.93595851172888
208021427,14057,2396,2173,40,1076.0,1090.0,4.5882,3063.728695348939,17.044888667567758
208031183,8853,1369,2348,42,1080.0,1079.0,5.3073,1668.0798145949918,15.463684626680221
208031184,31,3,933,56,,,9.0819,3.413382662218259,9.67741935483871
208031185,12032,2403,1853,44,1043.0,1033.0,5.8242,2065.86312283232,19.971742021276594
208031186,15204,2965,1718,41,1043.0,1037.0,5.423,2803.614235662917,19.501446987634832
208031187,5393,995,1867,40,1048.0,1024.0,3.1958,1687.5273796858376,18.449842388281105
208031188,24085,4609,1853,40,1047.0,1055.0,8.7376,2756.4777513275953,19.136391945194102
208031189,13563,2088,2223,40,1073.0,1077.0,5.1001,2659.3596203996,15.394824153948242
208031190,13197,2591,1889,42,1061.0,1072.0,4.45,2965.61797752809,19.6332499810563
208031191,9116,1469,2046,40,1048.0,1066.0,11.6997,779.1652777421643,16.114523913997367
