SA2_CODE21,LST,NDVI,NDBI,pop,elderly,median_hhd_income,median_age,IRSD_score,IRSAD_score,area_km2,pop_density,elderly_pct,SUHI
208031186,32.7809626314007,0.38215340071654025,-0.07080707097200817,15204,2965,1718,41,1043.0,1037.0,5.423,2803.614235662917,19.501446987634832,-0.822175682073393
208031187,32.7335816183603,0.4375566530155298,-0.10338789244248206,5393,995,1867,40,1048.0,1024.0,3.1958,1687.5273796858376,18.449842388281105,-0.8695566951137934
208031188,34.78014101677471,0.3386032754523388,-0.039224287140489,24085,4609,1853,40,1047.0,1055.0,8.7376,2756.477751327596,19.136391945194102,1.1770027033006158
208031189,32.53456144388231,0.3893657499682626,-0.0771498014083142,13563,2088,2223,40,1073.0,1077.0,5.1001,2659.3596203996,15.394824153948242,-1.06857686959178
208031190,33.259020018072945,0.3452220547578143,-0.04000110638274359,13197,2591,1889,42,1061.0,1072.0,4.45,2965.61797752809,19.6332499810563,-0.34411829540114525
208031191,34.56883440651826,0.35846001566580304,-0.043761833055631326,9116,1469,2046,40,1048.0,1066.0,11.6997,779.1652777421643,16.114523913997367,0.9656960930441727
208031192,35.6291599407422,0.33903287694302175,-0.02261802060941539,26,0,0,22,,,3.0755,8.453909933344171,0.0,2.0260216272681077
208031193,33.34830166405947,0.3731462673730649,-0.05615747234433033,21199,3598,2090,42,1072.0,1082.0,7.9681,2660.4836786686915,16.972498702769,-0.2548366494146208
208041194,32.63694868196281,0.4045855452081087,-0.07860143778932202,20239,4002,2364,40,1098.0,1137.0,6.1552,3288.114114894723,19.77370423439893,-0.9661896315112841
208041195,32.348286343045615,0.4305061580712354,-0.08180743811156825,21923,3716,2386,38,1088.0,1128.0,7.5666,2897.3383025401104,16.950234913104957,-1.2548519704284757
209011196,34.59994084616336,0.3836441929440208,-0.05414828824337033,9831,1966,1705,39,1024.0,1017.0,4.0749,2412.574541706545,19.997965618960432,0.9968025326892729
