SA2_CODE21,LST,NDVI,NDBI,pop,elderly,median_hhd_income,median_age,IRSD_score,IRSAD_score,area_km2,pop_density,elderly_pct,SUHI
209011198,32.90968217133451,0.4451974749259935,-0.08352424882383834,16039,3071,2102,40,1075.0,1089.0,6.3717,2517.224602539354,19.14707899494981,-0.6934561421395813
209011199,33.96489623658531,0.37624410820976284,-0.045662078095705064,14852,1911,1618,35,962.0,991.0,6.6912,2219.6317551410807,12.866953945596553,0.36175792311122024
209011200,31.933286120897026,0.49161605759548455,-0.12170579024488597,12458,2288,2280,41,1085.0,1115.0,5.0498,2467.028397164244,18.36570878150586,-1.6698521925770642
209011201,30.90383031458386,0.5365259097379989,-0.15088105160924534,7740,1625,2914,45,1118.0,1147.0,4.2769,1809.72199490285,20.99483204134367,-2.69930799889023
209011202,31.70263862346568,0.5198491745252277,-0.12133234154268531,16539,3386,2068,42,1080.0,1073.0,12.0278,1375.0644340610918,20.472821815103696,-1.9004996900084095
209011203,32.90182892951934,0.47013957423706243,-0.0908651657151352,18733,3625,2025,40,1066.0,1068.0,10.2379,1829.76977700505,19.350878129504085,-0.7013093839547508
209011204,34.023176906894115,0.42499563826812026,-0.07061518675614531,9236,1691,1961,39,1046.0,1035.0,3.7857,2439.707319650263,18.308791684712,0.42003859342002414
209021205,32.789403789890116,0.47658206115940993,-0.09824353130970317,10408,1419,1727,34,1012.0,1033.0,9.0094,1155.23786267676,13.633743274404305,-0.8137345235839746
209021428,34.95068638799982,0.27922223885687,0.014177922707344989,20711,2661,1787,36,1004.0,1031.0,7.7457,2673.870663723098,12.848244894017672,1.3475480745257329
209021429,33.74638848312354,0.3551694011965535,-0.01494264235068761,12696,1791,1970,38,1034.0,1056.0,3.5679,3558.395694946608,14.106805293005667,0.14325016964944837
209021523,34.677120174166575,0.3876682774615311,-0.04392840991177758,14795,2270,1544,36,974.0,983.0,4.788,3090.016708437761,15.34302129097668,1.0739818606924842
209021524,34.323085722096806,0.3853149979724248,-0.027764102338672443,9801,2484,1442,43,964.0,965.0,4.5297,2163.7194516193126,25.34435261707989,0.7199474086227156
209021525,34.421855792523615,0.3775030401514428,-0.036494169469201886,12799,2321,1401,38,958.0,978.0,4.1783,3063.207524591341,18.134229236659117,0.8187174790495249
