SA2_CODE21,elevation
213011328,46.814915209775855
213011329,59.66664587149719
213011331,95.03075717151965
213011332,72.55252863654762
213011333,77.96022624638726
213011334,77.21072902443595
213011335,60.884698763799584
213011336,38.75551150928934
213011337,48.991006657898254
213011338,34.523121465434684
213011339,114.8622520292884
213011340,101.51301031761827
213011569,59.79183340444022
213011570,43.56704817573305
213021341,7.952900216870482
213021342,7.083454644009385
213021343,16.496763661668002
213021344,14.35956585745713
213021345,11.718190342240971
213021346,9.011522925856452
213031347,40.04837113166839
213031348,23.195380250571205
213031349,23.208261135343083
213031350,23.08690258167424
213031351,30.81150394229157
213031352,16.649660498764625
213041353,210.14253590116658
213041358,158.4241459633766
213041359,98.3440262676518
213041360,106.49237383430442
213041461,73.32058508179145
213041462,83.50569330236642
213041463,83.49373224374571
213041571,122.01461083850032
213041572,119.84696182746764
213041573,119.64046163859253
213041574,134.07572047354094
213041575,137.23790452708894
213041576,239.45661548940794
213041577,137.2652184243919
213041578,112.49339278125844
213051361,27.833231461166193
213051362,30.078333267766507
213051363,22.881838860829227
213051368,11.650442452673545
213051464,5.935096680857989
213051466,11.112169519428523
213051467,28.456456833259345
213051468,44.39199449612553
213051579,98.10145338017483
213051580,11.024593341146534
213051581,15.815101279854883
213051582,63.14440568954182
213051583,43.60390240876026
213051584,52.20555036621243
213051585,38.75919432504929
213051586,38.624555330805244
213051587,24.225601851044413
213051588,25.96067428865353
213051589,84.20954156010448
213051590,34.341805645856326
214011370,18.522255112793655
214011371,55.75387607692608
214011372,37.45824143508309
214011373,93.17515486326492
214011374,78.41393818490313
214011375,8.27129588606643
214011376,34.479154020598
214021377,89.06545802493888
214021378,104.17254676901476
214021379,31.23422154984684
214021381,83.38199837005006
214021382,57.859189854701434
214021383,17.64678258976106
214021384,44.660434897073955
214021385,51.02112785845111
214021591,49.57892773026958
214021592,34.88909813687654
