SA2_CODE21,SA2_NAME21,year,NDVI,NDBI,NDWI,LST
206051514,St Kilda - West,2000,0.29803690831095214,-0.05029427932830117,-0.33498397502974275,32.88105688777155
206061135,Armadale,2000,0.3310461967704006,-0.04967707940224916,-0.35694689190547274,32.733262431681595
206061136,Prahran - Windsor,2000,0.25428557177102157,-0.011265307963096462,-0.2917931066122177,33.991089642038716
206061138,Toorak,2000,0.41634199443228465,-0.09994825224994151,-0.4339788500489476,31.509398474324755
206061515,South Yarra - North,2000,0.3569873259460293,-0.09141137295292821,-0.37605978890023495,32.93747815433307
206061516,South Yarra - South,2000,0.23464288932882754,-0.014314832497948645,-0.2679419576434561,33.9161480555127
206071139,Abbotsford,2000,0.2296792694341569,-0.0029437284315097403,-0.2584688237647979,34.0505989130732
206071140,Carlton North - Princes Hill,2000,0.31931767514044196,-0.038676689616730896,-0.3503067531136944,33.66099993388836
206071141,Collingwood,2000,0.12253848499078838,0.051140494593394835,-0.15662769518571357,35.53903749851362
206071142,Fitzroy,2000,0.15595170669772934,0.028363417327488257,-0.18709623734686118,34.451294221625375
206071143,Fitzroy North,2000,0.27968471584623755,-0.02691557150005435,-0.3117192436944705,33.489941004047324
206071145,Clifton Hill - Alphington,2000,0.4382937663237884,-0.11062796759741252,-0.4590641225803228,31.144903544098902
206071517,Richmond (South) - Cremorne,2000,0.23939323127540554,-0.0047996556276016155,-0.27506513413199035,34.29749218859775
206071518,Richmond - North,2000,0.18510075771581014,0.02993425887428672,-0.22758839653932142,35.05364779539158
207011146,Ashburton (Vic.),2000,0.4525806515547682,-0.08233359687550243,-0.4833570742500813,31.528642272512958
207011147,Balwyn,2000,0.4553788042618203,-0.08113261613134519,-0.4805453736647392,31.509557524226885
207011148,Balwyn North,2000,0.46606595822972474,-0.07641102496422114,-0.4904288011947043,31.88704057054805
207011149,Camberwell,2000,0.44841045610846175,-0.08220625761960408,-0.4806669758328256,31.19537350752553
207011150,Glen Iris - East,2000,0.4489060783681285,-0.08098920543543733,-0.48317237218252446,30.72811443347427
207011152,Hawthorn East,2000,0.360966745649421,-0.05581815098118125,-0.39563636503329197,32.08851297506288
207011154,Kew East,2000,0.5114558677920622,-0.10878388319399608,-0.5318260015356107,30.812504940752643
